time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-13 16:00:00,27.6,24,1010.5,18.0,27.5,29.3,30.4,78,79,79,79,766.5,756.2,2023-06-13 15:22:00,1
2023-06-13 17:00:00,27.0,24,1010.6,18.5,28.1,29.6,30.3,69,69,69,70,794.1,831.4,2023-06-13 15:22:00,1
2023-06-13 18:00:00,26.1,25,1010.5,17.9,28.0,29.6,30.8,71,70,69,69,811.1,776.6,2023-06-13 15:22:00,1
2023-06-13 19:00:00,25.2,27,1010.7,16.2,27.1,29.0,30.1,77,76,76,75,739.4,692.3,2023-06-13 15:22:00,1
2023-06-13 20:00:00,24.4,31,1011.1,13.2,23.8,26.1,27.5,73,70,70,68,622.5,535.4,2023-06-13 15:22:00,1
2023-06-13 21:00:00,22.4,43,1011.9,11.2,20.6,23.1,25.3,75,71,69,67,349.0,74.2,2023-06-13 15:22:00,1
2023-06-13 22:00:00,20.7,46,1012.4,8.3,20.3,23.7,26.6,56,57,57,57,7.2,0.0,2023-06-13 15:22:00,1
2023-06-13 23:00:00,19.0,49,1012.7,10.0,22.2,25.2,27.0,41,43,44,45,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 00:00:00,17.3,46,1012.9,9.9,18.1,20.9,22.7,46,46,46,47,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 01:00:00,15.8,47,1013.1,9.3,17.8,20.5,23.7,36,36,38,41,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 02:00:00,14.6,54,1013.3,8.2,16.4,22.4,27.2,29,26,28,35,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 03:00:00,13.5,63,1013.2,9.2,15.5,21.8,27.6,26,22,22,29,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 04:00:00,12.8,72,1013.1,10.0,18.4,26.1,31.9,26,17,18,24,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 05:00:00,12.2,79,1012.9,9.7,18.1,21.0,31.1,27,23,22,25,0.0,0.0,2023-06-13 15:22:00,1
2023-06-14 06:00:00,12.3,82,1013.2,9.7,16.8,19.1,29.0,31,23,22,27,0.0,201.8,2023-06-13 15:22:00,1
2023-06-14 07:00:00,13.4,78,1013.6,8.6,12.1,12.8,21.7,33,23,22,27,310.7,437.9,2023-06-13 15:22:00,1
2023-06-14 08:00:00,15.5,70,1013.8,8.6,11.6,12.1,12.6,33,26,27,27,526.4,607.6,2023-06-13 15:22:00,1
2023-06-14 09:00:00,18.1,61,1013.8,8.9,11.1,11.6,12.1,43,36,36,37,667.3,720.9,2023-06-13 15:22:00,1
2023-06-14 10:00:00,20.9,54,1013.8,10.4,12.3,12.8,13.0,56,50,50,51,760.2,795.5,2023-06-13 15:22:00,1
2023-06-14 11:00:00,23.4,48,1013.8,10.6,14.0,14.5,15.3,62,61,60,60,822.5,846.8,2023-06-13 15:22:00,1
2023-06-14 12:00:00,25.5,42,1013.7,12.4,15.4,16.2,16.5,73,69,69,70,863.4,877.5,2023-06-13 15:22:00,1
2023-06-14 13:00:00,26.8,38,1013.6,14.2,18.1,18.8,19.1,83,77,78,78,886.4,893.3,2023-06-13 15:22:00,1
2023-06-14 14:00:00,27.4,32,1013.7,15.5,19.8,20.5,20.9,91,92,92,91,896.7,898.6,2023-06-13 15:22:00,1
2023-06-14 15:00:00,27.5,27,1013.8,16.7,21.3,22.1,22.8,96,96,97,96,898.0,895.2,2023-06-13 15:22:00,1
2023-06-14 16:00:00,27.0,25,1013.8,17.1,23.5,24.2,24.9,98,94,94,95,886.5,874.6,2023-06-13 15:22:00,1
2023-06-14 17:00:00,26.5,24,1013.7,17.0,25.6,26.7,27.4,96,87,87,87,858.2,837.7,2023-06-13 15:22:00,1
2023-06-14 18:00:00,25.8,26,1013.8,16.2,23.8,24.9,25.6,91,92,92,92,810.3,776.8,2023-06-13 15:22:00,1
2023-06-14 19:00:00,24.8,30,1014.2,14.9,20.4,21.2,22.3,83,99,100,99,733.5,679.6,2023-06-13 15:22:00,1
2023-06-14 20:00:00,23.0,39,1014.6,13.0,17.7,18.4,19.1,88,92,92,92,603.9,511.2,2023-06-13 15:22:00,1
2023-06-14 21:00:00,21.0,51,1015.1,11.2,16.9,18.4,19.4,84,92,92,91,329.8,71.1,2023-06-13 15:22:00,1
2023-06-14 22:00:00,19.3,62,1015.7,8.8,14.4,16.2,20.2,81,90,90,87,7.4,0.0,2023-06-13 15:22:00,1
2023-06-14 23:00:00,18.0,66,1016.3,7.1,13.4,16.3,20.3,75,82,84,83,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 00:00:00,16.9,70,1016.5,6.0,14.0,17.5,21.8,65,78,81,81,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 01:00:00,16.0,74,1016.6,5.5,14.8,18.3,21.7,58,67,70,75,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 02:00:00,15.3,76,1016.6,6.1,16.1,19.0,21.4,50,63,65,70,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 03:00:00,14.6,79,1016.6,5.6,17.0,20.0,22.5,50,58,62,68,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 04:00:00,14.1,82,1016.5,5.7,15.3,18.2,20.4,35,51,56,64,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 05:00:00,13.7,83,1016.6,6.2,14.3,17.5,19.2,36,49,53,60,0.0,0.0,2023-06-13 15:22:00,1
2023-06-15 06:00:00,13.8,82,1016.8,6.6,16.6,20.2,22.1,41,48,50,56,0.0,201.3,2023-06-13 15:22:00,1
2023-06-15 07:00:00,15.0,75,1017.0,7.6,11.5,17.1,21.6,45,51,49,53,299.3,416.3,2023-06-13 15:22:00,1
2023-06-15 08:00:00,16.7,68,1017.2,7.9,11.5,12.0,12.3,47,49,49,50,510.6,594.5,2023-06-13 15:22:00,1
2023-06-15 09:00:00,18.8,61,1017.4,7.7,10.5,11.0,11.2,53,49,49,50,624.9,648.6,2023-06-13 15:22:00,1
2023-06-15 10:00:00,21.2,54,1017.7,7.7,9.5,10.0,10.0,53,53,52,52,691.1,737.5,2023-06-13 15:22:00,1
2023-06-15 11:00:00,23.6,45,1017.8,8.9,11.9,12.6,12.7,63,65,66,65,782.4,820.5,2023-06-13 15:22:00,1
2023-06-15 12:00:00,25.5,36,1017.5,10.2,12.2,12.9,13.3,80,76,77,77,824.0,810.3,2023-06-13 15:22:00,1
2023-06-15 13:00:00,26.8,28,1016.8,9.4,14.0,14.4,14.8,97,89,89,89,751.1,690.7,2023-06-13 15:22:00,1
2023-06-15 14:00:00,26.7,29,1016.4,10.9,14.6,14.9,15.2,107,106,105,104,685.6,436.5,2023-06-13 15:22:00,1
2023-06-15 15:00:00,26.4,31,1016.3,13.4,18.8,19.1,19.5,96,93,93,93,366.4,313.0,2023-06-13 15:22:00,1
2023-06-15 16:00:00,26.3,30,1016.2,11.3,16.9,17.6,17.9,99,101,101,100,346.9,402.2,2023-06-13 15:22:00,1
2023-06-15 17:00:00,26.2,30,1016.0,11.3,16.8,17.1,17.2,97,99,98,100,458.5,516.3,2023-06-13 15:22:00,1
2023-06-15 18:00:00,25.7,31,1016.0,11.9,18.2,18.6,18.9,104,104,105,104,562.4,596.2,2023-06-13 15:22:00,1
2023-06-15 19:00:00,24.9,35,1016.2,11.6,19.1,19.8,20.3,106,106,106,107,580.0,546.0,2023-06-13 15:22:00,1
2023-06-15 20:00:00,23.7,39,1016.6,10.6,18.9,19.7,20.0,100,99,98,97,495.3,424.9,2023-06-13 15:22:00,1
2023-06-15 21:00:00,22.0,47,1017.0,8.7,17.4,18.8,20.6,97,96,95,96,260.0,47.7,2023-06-13 15:22:00,1
2023-06-15 22:00:00,20.2,56,1017.5,9.0,18.1,19.9,23.9,95,95,95,95,5.0,0.0,2023-06-13 15:22:00,1
2023-06-15 23:00:00,18.5,63,1017.6,7.9,16.2,18.4,27.4,87,90,92,93,0.0,0.0,2023-06-13 15:22:00,1
